,index,Property_type,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,Bed,Light,Chimney,Exhaust Fan,Fan,TV,Dining Table,Microwave,Wardrobe,Sofa,Modular Kitchen,Stove,Washing Machine,AC,Curtains,Water Purifier,Geyser,Fridge,furnishing_type,luxury_score,Green_area,Construction,Management,Amenities,Connectivity,Lifestyle,Environment,Safety
711,711,flat,3 BHK,sector 83,vatika gurgaon,1.12,1735.0,6455.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,17th   of 18 Floors,South,Moderately Old,[Green Area5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities3.5 out of 5 Connectivity4 out of 5],17.0,18.0,1735.0,1400.0,1500.0,0,0,0,0,0,0,6,0,1,5,0,0,0,3,0,1,0,0,0,0,0,1,0,1,111,5,4.5,4,3.5,4,,,
712,712,flat,3 BHK,sector 37c,piedmont taksila heights,1.0,1537.0,6506.0,Carpet area: 1537 (142.79 sq.m.),3,3,3+,8th   of 15 Floors,,Relatively New,[Green Area5 out of 5 Amenities4 out of 5 Management4 out of 5 Construction3.5 out of 5 Connectivity4 out of 5],8.0,15.0,,1537.0,,0,0,0,0,0,0,6,1,0,6,0,0,0,2,0,0,0,0,2,0,1,2,0,1,49,5,3.5,4,4,4,,,
713,713,flat,3 BHK,sector 109,raheja atharva,0.79,996.0,7931.0,Super Built up area 1457(135.36 sq.m.)Carpet area: 996 sq.ft. (92.53 sq.m.),3,2,2,3rd   of 14 Floors,,Relatively New,[Green Area4 out of 5 Construction2 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],3.0,14.0,1457.0,996.0,,0,0,0,0,0,0,6,1,1,5,0,0,1,6,0,1,1,0,0,1,1,3,0,1,44,4,2,4,4,4,,,
714,714,flat,4 BHK,sector 69,tulip violet,1.7,2010.0,8457.0,Super Built up area 2010(186.74 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),4,4,2,10th   of 14 Floors,South-West,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],10.0,14.0,2010.0,1610.0,,1,1,1,1,0,0,9,0,1,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,174,5,4,5,5,4.5,,,
715,715,flat,3 BHK,sector 77,emaar mgf palm hills,1.25,1450.0,8620.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),3,4,3,3rd   of 13 Floors,North,Relatively New,[Green Area4 out of 5 Construction4.5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],3.0,13.0,1450.0,1177.0,,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,49,4,4.5,5,5,4.5,,,
716,716,flat,2 BHK,sector 84,alpha corp gurgaonone,1.15,1534.0,7496.0,Super Built up area 1534(142.51 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,8th   of 26 Floors,North-East,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],8.0,26.0,1534.0,1200.0,,1,0,0,0,0,0,8,1,1,4,1,1,0,1,0,1,0,0,4,1,0,2,0,1,37,5,5,4,4,4,,,
717,717,,house,sector 25,dlf city plots phase 2,10.75,3600.0,29861.0,Plot area 400(334.45 sq.m.),9,9,3+,3.0,South-West,Old Property,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,,,0,1,1,1,0,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,,,,,5,5,5,5
718,718,flat,3 BHK,sector 90,dlf regal gardens,1.17,1744.0,6708.0,Super Built up area 1744(162.02 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1290 sq.ft. (119.84 sq.m.),3,3,3,15th   of 19 Floors,North,Relatively New,[Green Area5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],15.0,19.0,1744.0,1290.0,1630.0,0,0,0,0,0,0,6,1,1,6,0,0,0,3,0,1,0,0,5,1,0,2,0,1,136,5,4.5,4,5,4,,,
719,719,flat,3 BHK,sector 104,puri emerald bay,2.3,2450.0,9387.0,Super Built up area 2450(227.61 sq.m.),3,4,3+,10th   of 29 Floors,North-East,Moderately Old,[Green Area5 out of 5 Construction5 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],10.0,29.0,2450.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,5,5,5,4,,,
720,720,,house,sector 50,unitech espace,7.35,1760.0,41762.0,Plot area 240(200.67 sq.m.),4,4,3+,3.0,South,Moderately Old,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,,,0,1,0,1,0,0,9,1,1,0,0,0,0,5,0,0,0,0,6,0,0,4,0,1,52,,,,,5,5,5,5
721,721,flat,3 BHK,sector 85,ss the leaf,2.1,2408.0,8720.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),3,4,3+,6th   of 16 Floors,North,Relatively New,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4.5 out of 5],6.0,16.0,2408.0,1685.0,,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,156,4.5,4.5,4,4,4.5,,,
722,722,,house,sector 25,independent,16.0,2700.0,59259.0,Plot area 350(292.64 sq.m.)Built Up area: 325 sq.yards (271.74 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),16,16,3+,4.0,West,New Property,[Environment5 out of 5 Safety5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5],,,,300.0,325.0,1,1,1,1,0,0,51,1,1,24,0,0,1,24,0,1,1,0,24,0,1,21,0,2,72,,,,,5,5,5,5
723,723,flat,2 BHK,sector 67,shree vardhman mantra,0.56,800.0,7000.0,Carpet area: 800 (74.32 sq.m.),2,2,1,8th   of 13 Floors,,New Property,[Green Area4 out of 5 Construction4 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],8.0,13.0,,800.0,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,4,4,4,4,4,,,
724,724,flat,4 BHK,sector 61,pioneer park,3.6,2851.0,12627.0,Super Built up area 2851(264.87 sq.m.),4,4,3,3rd   of 32 Floors,North,Moderately Old,[Green Area5 out of 5 Construction3 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity5 out of 5],3.0,32.0,2851.0,,,0,1,0,0,0,0,10,1,1,6,0,0,0,6,0,1,1,0,4,0,0,4,0,1,121,5,3,4,4,5,,,
725,725,flat,3 BHK,sector 37c,corona optus,1.25,1763.0,7090.0,Super Built up area 1763(163.79 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1234 sq.ft. (114.64 sq.m.),3,3,3,4th   of 14 Floors,North-West,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],4.0,14.0,1763.0,1234.0,1350.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5,4,4,4,4,,,
726,726,flat,2 BHK,sector 103,indiabulls centrum park,1.2,1423.0,8432.0,Super Built up area 1423(132.2 sq.m.),2,2,3,3rd   of 10 Floors,North-East,Moderately Old,[Green Area5 out of 5 Amenities4 out of 5 Management4 out of 5 Construction4 out of 5 Connectivity3 out of 5],3.0,10.0,1423.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,4,4,4,3,,,
727,727,flat,3 BHK,sector 69,tulip white,0.9,1326.0,6787.0,Carpet area: 1326 (123.19 sq.m.),3,2,3,6th   of 13 Floors,North-East,Relatively New,[Green Area4 out of 5 Construction4 out of 5 Management3.5 out of 5 Amenities3.5 out of 5 Connectivity4 out of 5],6.0,13.0,,1326.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,4,4,3.5,3.5,4,,,
728,728,flat,4 BHK,sector 43,dlf the grove,6.0,2400.0,25000.0,Carpet area: 2400 (222.97 sq.m.),4,4,2,1st   of 4 Floors,South-West,undefined,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],1.0,4.0,,2400.0,,0,1,0,0,0,0,10,1,1,6,0,0,0,4,0,1,0,0,5,0,0,5,0,1,49,,,,,5,5,5,5
729,729,flat,2 BHK,sector 85,godrej air,1.35,990.0,13632.0,Carpet area: 92,2,2,3,19th   of 32 Floors,,undefined,[Safety4.5 out of 5 Lifestyle5 out of 5 Environment5 out of 5 Connectivity5 out of 5],19.0,32.0,,92.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,,,,,5,5,5,4.5
