,index,Property_type,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,Bed,Light,Chimney,Exhaust Fan,Fan,TV,Dining Table,Microwave,Wardrobe,Sofa,Modular Kitchen,Stove,Washing Machine,AC,Curtains,Water Purifier,Geyser,Fridge,furnishing_type,luxury_score,Green_area,Construction,Management,Amenities,Connectivity,Lifestyle,Environment,Safety
1731,1731,flat,3 BHK,sector 50,the close north,2.97,2605.0,11401.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,3,3+,8th   of 18 Floors,North,Moderately Old,[Green Area5 out of 5 Construction4 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],8.0,18.0,2605.0,2100.0,2600.0,0,1,0,0,0,0,12,1,1,5,0,0,0,3,0,1,0,0,5,4,0,4,0,1,174,5,4,4.5,5,4,,,
1732,1732,flat,5 BHK,sector 21,surya vihar rwa,1.3,2000.0,6500.0,Built Up area: 2400 (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),5,5,2,2nd   of 4 Floors,South-East,Old Property,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],2.0,4.0,,2200.0,2400.0,1,1,1,0,0,0,10,1,1,5,0,0,0,0,0,1,0,0,2,0,1,0,0,1,42,,,,,5,4,4,4
1733,1733,flat,3 BHK,sector 84,antriksh heights,0.85,1725.0,4927.0,Super Built up area 1725(160.26 sq.m.),3,3,3+,10th   of 19 Floors,North,Relatively New,[Green Area4.5 out of 5 Construction3.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],10.0,19.0,1725.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4.5,3.5,4,4,3,,,
1734,1734,flat,2 BHK,sector 106,paras dews,0.87,940.0,9255.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 940 sq.ft. (87.33 sq.m.),2,2,3+,1st   of 8 Floors,North-East,New Property,nan,1.0,8.0,1385.0,940.0,1120.0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,174,,,,,,,,
1735,1735,flat,3 BHK,sector 33,godrej nature plus,1.62,1159.0,13974.0,Built Up area: 129.42 Carpet area: 107.7 sq.m.,3,4,3+,3rd   of 22 Floors,North,New Property,nan,3.0,22.0,,107.7,129.42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,
1736,1736,flat,4 BHK,gwal pahari,valley view estate,1.5,1812.0,8278.0,Carpet area: 1812 (168.34 sq.m.),4,4,3+,9th   of 15 Floors,North,Old Property,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety5 out of 5],9.0,15.0,,1812.0,,1,1,0,0,1,0,20,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,,,,,4,4,5,5
1737,1737,flat,2 BHK,sector 33,eldeco accolade,1.2,1492.0,8043.0,Built Up area: 1492 (138.61 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,2,Ground of 15 Floors,,undefined,[Green Area5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity3.5 out of 5],0.0,15.0,,849.0,1492.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,5,4.5,4,5,3.5,,,
1738,1738,flat,5 BHK,sector 62,pioneer araya,10.75,5513.0,19500.0,Super Built up area 5514(512.27 sq.m.),5,7,3,10th   of 34 Floors,North-East,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity5 out of 5],10.0,34.0,5514.0,,,0,1,0,0,0,0,15,1,0,4,0,0,0,0,0,1,0,0,6,0,0,0,0,1,153,5,4,4,4,5,,,
1739,1739,flat,2 BHK,sohna road,signature the serenas,0.42,531.0,7909.0,Carpet area: 531 (49.33 sq.m.),2,2,1,12nd   of 12 Floors,,New Property,[Environment4 out of 5 Safety4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5],12.0,12.0,,531.0,,0,0,0,0,0,1,9,1,0,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,54,,,,,5,4,4,4
1740,1740,flat,3 BHK,sector 108,raheja vedaanta,0.85,1833.0,4637.0,Super Built up area 1833(170.29 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,2,2nd   of 2 Floors,North-East,Relatively New,[Green Area4 out of 5 Construction4 out of 5 Management3 out of 5 Amenities4 out of 5 Connectivity4 out of 5],2.0,2.0,1833.0,1350.0,1500.0,0,1,0,0,0,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,4,4,3,4,4,,,
1741,1741,flat,4 BHK,sector 37d,bptp terra,2.08,2080.0,10000.0,Super Built up area 2443(226.96 sq.m.),4,4,3,Ground of 23 Floors,North-East,New Property,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities4.5 out of 5 Connectivity4 out of 5],0.0,23.0,2443.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,121,4.5,4.5,4.5,4.5,4,,,
1742,1742,flat,4 BHK,sector 92,sare homes,1.1,2057.0,5347.0,Carpet area: 2057 (191.1 sq.m.),4,4,3,4th   of 21 Floors,North-West,Relatively New,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety3 out of 5],4.0,21.0,,2057.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,,,,,4,4,5,3
1743,1743,flat,2 BHK,sector 89,smart world gems,0.9,1103.0,8159.0,Super Built up area 1103(102.47 sq.m.),2,2,2,3rd   of 4 Floors,,undefined,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],3.0,4.0,1103.0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,,,,,4,4,4,4
1744,1744,flat,3 BHK,sector 103,indiabulls centrum park,1.33,1550.0,8580.0,Super Built up area 1790(166.3 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3+,8th   of 18 Floors,East,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],8.0,18.0,1790.0,1550.0,,1,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,4,4,4,3,,,
1745,1745,flat,2 BHK,sohna road,breez global heights,0.4,623.0,6420.0,Super Built up area 623(57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2,2,1,4th   of 10 Floors,North-East,New Property,[Green Area5 out of 5 Amenities5 out of 5 Management5 out of 5 Construction5 out of 5 Connectivity5 out of 5],4.0,10.0,623.0,599.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5,5,5,5,5,,,
1746,1746,flat,3 BHK,sector 28,dlf regency park,2.25,1550.0,14516.0,Super Built up area 1777(165.09 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,2,16th   of 20 Floors,West,Old Property,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity5 out of 5],16.0,20.0,1777.0,1550.0,1700.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,5,5,4,4,5,,,
1747,1747,,house,manesar,independent,1.1,1782.0,6172.0,Plot area 1782(165.55 sq.m.),8,8,0,1.0,,New Property,[Environment4 out of 5 Lifestyle3.5 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,3.5,4,4
1748,1748,,house,sector 28,independent,11.75,2844.0,41315.0,Plot area 316(264.22 sq.m.),4,5,3+,4.0,East,Relatively New,[Environment5 out of 5 Safety5 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5],,,,,,1,1,1,0,0,0,69,1,1,9,0,0,0,4,0,1,1,0,7,0,0,5,0,1,54,,,,,5,4,5,5
1749,1749,,house,sector 11,independent,1.2,2700.0,4444.0,Built Up area: 300 (250.84 sq.m.),7,3,0,3.0,,undefined,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],,,,,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,4,4,4
1750,1750,flat,2 BHK,sector 65,m3m heights,1.9,1358.0,13991.0,Built Up area: 1358 (126.16 sq.m.),2,2,2,40th   of 40 Floors,,undefined,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],40.0,40.0,,,1358.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,,,,,5,4,4,4
1751,1751,flat,3 BHK,sector 83,emaar palm gardens,1.75,1900.0,9210.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,6th   of 16 Floors,East,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],6.0,16.0,1900.0,1240.04,1600.0,0,1,0,0,0,0,10,1,1,8,0,1,0,3,0,1,0,0,3,0,0,3,0,1,174,5,4,4,5,4,,,
1752,1752,flat,3 BHK,sector 69,tulip violet,1.4,1578.0,8871.0,Super Built up area 1578(146.6 sq.m.),3,3,2,11st   of 14 Floors,North,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],11.0,14.0,1578.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,126,5,4,5,5,4.5,,,
1753,1753,flat,2 BHK,sector 67a,pyramid urban,0.62,523.0,11854.0,Carpet area: 523 (48.59 sq.m.),2,2,2,2nd   of 14 Floors,South,Relatively New,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety5 out of 5],2.0,14.0,,523.0,,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,64,,,,,4,4,5,5
1754,1754,flat,2 BHK,sector 106,paras dews,0.97,1100.0,8818.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,3,6th   of 24 Floors,North-East,New Property,nan,6.0,24.0,1385.0,1100.0,1200.0,0,0,0,1,0,0,5,0,1,4,0,0,0,0,0,1,1,0,3,0,0,0,0,1,174,,,,,,,,
1755,1755,flat,2 BHK,sohna road,signature global park,0.53,830.0,6386.0,Carpet area: 822 (76.37 sq.m.),2,2,2,2nd   of 4 Floors,North-East,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity5 out of 5],2.0,4.0,,822.0,,0,0,0,1,0,0,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,168,5,5,4,5,5,,,
1756,1756,flat,3 BHK,sector 90,dlf regal gardens,1.25,1540.0,8116.0,Super Built up area 1702(158.12 sq.m.)Built Up area: 1640 sq.ft. (152.36 sq.m.)Carpet area: 1540 sq.ft. (143.07 sq.m.),3,3,3,8th   of 29 Floors,South-East,Relatively New,[Green Area5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],8.0,29.0,1702.0,1540.0,1640.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,5,4.5,4,5,4,,,
1757,1757,flat,2 BHK,sector 102,shapoorji pallonji joyville gurugram,1.35,915.0,14754.0,Super Built up area 915(85.01 sq.m.),2,2,2,10th   of 14 Floors,,undefined,[Management4 out of 5 Green Area4 out of 5 Construction5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],10.0,14.0,915.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,22,4,5,4,5,4,,,
1758,1758,,house,sector 70a,independent,2.1,600.0,35000.0,Carpet area: 600 (55.74 sq.m.),3,2,1,3.0,,New Property,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,600.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,5,4
1759,1759,flat,2 BHK,sohna road,g l s arawali homes,0.26,576.0,4513.0,Super Built up area 576(53.51 sq.m.),2,2,2,1st   of 5 Floors,,Moderately Old,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],1.0,5.0,576.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,4,4,4
1760,1760,flat,2 BHK,sector 77,umang winter hills,0.75,1342.0,5588.0,Super Built up area 1342(124.68 sq.m.)Built Up area: 1140 sq.ft. (105.91 sq.m.)Carpet area: 969 sq.ft. (90.02 sq.m.),2,2,2,8th   of 18 Floors,South,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities4.5 out of 5 Connectivity4.5 out of 5],8.0,18.0,1342.0,969.0,1140.0,0,0,1,0,0,0,0,1,1,4,0,0,0,2,0,1,1,0,3,0,1,3,0,1,102,5,5,4,4.5,4.5,,,
1761,1761,flat,4 BHK,sector 111,puri diplomatic greens,3.5,2950.0,11864.0,Super Built up area 2950(274.06 sq.m.)Built Up area: 2700 sq.ft. (250.84 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,5,3+,10th   of 21 Floors,North-East,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],10.0,21.0,2950.0,2500.0,2700.0,0,1,0,0,0,0,20,1,1,6,0,0,0,4,0,1,0,0,7,6,0,5,0,1,49,5,5,4,4,3,,,
1762,1762,,house,sector 7,independent,0.69,758.0,9103.0,Built Up area: 758 (70.42 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),1,1,1,2.0,,undefined,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,500.0,758.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,4,4
1763,1763,,house,sector 11,independent,4.5,1800.0,25000.0,Plot area 200(167.23 sq.m.),16,16,3+,4.0,South,Relatively New,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],,,,,,0,0,0,0,0,0,28,4,1,20,0,0,0,24,0,1,0,0,8,8,0,14,0,1,20,,,,,5,4,4,4
1764,1764,flat,3 BHK,sector 66,emaar mgf the palm drive,2.8,1950.0,14358.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,2,12nd   of 17 Floors,East,New Property,[Green Area5 out of 5 Construction4.5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity5 out of 5],12.0,17.0,1950.0,1600.0,1920.0,1,1,0,1,0,4,5,1,1,6,3,1,0,5,1,1,1,0,5,1,0,5,1,2,69,5,4.5,4.5,5,5,,,
1765,1765,,house,sector 43,independent,5.5,20250.0,2716.0,Plot area 215(179.77 sq.m.)Built Up area: 2850 sq.yards (2382.96 sq.m.)Carpet area: 2250 sq.yards (1881.29 sq.m.),8,7,3+,3.0,East,Moderately Old,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,2250.0,2850.0,1,1,0,1,1,0,30,4,1,10,0,0,0,8,0,1,1,0,0,0,0,10,0,1,123,,,,,5,5,5,5
1766,1766,flat,2 BHK,sector 37c,ild greens,0.95,1030.0,9223.0,Super Built up area 1340(124.49 sq.m.)Carpet area: 1030 sq.ft. (95.69 sq.m.),2,2,3+,11st   of 14 Floors,South-West,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities4.5 out of 5 Connectivity4.5 out of 5],11.0,14.0,1340.0,1030.0,,0,0,1,1,0,0,12,0,1,3,0,0,0,3,0,1,0,0,1,0,0,1,0,1,119,5,5,4.5,4.5,4.5,,,
1767,1767,,house,sector 7,independent,8.0,3600.0,22222.0,Plot area 400(334.45 sq.m.),4,5,3+,1.0,North-East,Old Property,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,,1,1,0,1,0,4,21,0,0,5,2,0,0,5,0,0,0,0,4,0,0,0,0,0,31,,,,,4,4,4,4
1768,1768,flat,2 BHK,sector 74,m3m skywalk,1.55,1124.0,13790.0,Super Built up area 1406(130.62 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1124 sq.ft. (104.42 sq.m.),2,2,3+,18th   of 30 Floors,South,Relatively New,nan,18.0,30.0,1406.0,1124.0,1300.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,,,,,,,,
1769,1769,flat,3 BHK,sector 109,sbtl caladium,1.26,1926.0,6542.0,Super Built up area 1880(174.66 sq.m.),3,2,3,8th   of 19 Floors,North-East,Relatively New,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity3.5 out of 5 Safety4.5 out of 5],8.0,19.0,1880.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,,,,,3.5,4,5,4.5
1770,1770,flat,2 BHK,sohna road,ashiana mulberry,0.9,1465.0,6143.0,Super Built up area 1465(136.1 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3+,7th   of 17 Floors,North-East,Moderately Old,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety4 out of 5],7.0,17.0,1465.0,1000.0,1100.0,1,0,0,0,0,0,4,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,156,,,,,5,4,4,4
1771,1771,flat,4 BHK,sector 28,sahara grace,5.5,3764.0,14612.0,Super Built up area 3764(349.69 sq.m.),4,5,3+,5th   of 13 Floors,East,Moderately Old,[Environment3 out of 5 Lifestyle4 out of 5 Connectivity4.5 out of 5 Safety4 out of 5],5.0,13.0,3764.0,,,0,1,0,0,1,0,6,1,1,11,0,0,0,5,0,1,1,0,7,1,0,5,0,1,8,,,,,4.5,4,3,4
1772,1772,flat,3 BHK,sector 95,rof ananda,0.38,65517.0,58.0,Carpet area: 64412 (5984.07 sq.m.),3,2,1,12nd   of 14 Floors,North,Relatively New,[Environment4 out of 5 Lifestyle4.5 out of 5 Connectivity4 out of 5 Safety4.5 out of 5],12.0,14.0,,64412.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,,,,,4,4.5,4,4.5
1773,1773,flat,3 BHK,sector 63a,birla navya,3.5,1350.0,25925.0,Carpet area: 1350 (125.42 sq.m.),3,3,3,1st   of 4 Floors,,Under Construction,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety5 out of 5],1.0,4.0,,1350.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,38,,,,,4,4,4,5
1774,1774,flat,3 BHK,dwarka expressway,the cocoon,2.0,1500.0,13333.0,Super Built up area 1500(139.35 sq.m.),3,3,3,5th   of 25 Floors,,New Property,nan,5.0,25.0,1500.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1775,1775,flat,3 BHK,sector 90,shree vardhman flora,0.86,1375.0,6254.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1375 sq.ft. (127.74 sq.m.),3,4,3,Ground of 13 Floors,North,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity5 out of 5],0.0,13.0,1950.0,1375.0,1525.0,0,1,0,0,0,0,10,0,1,5,0,0,0,2,0,1,0,0,0,0,0,1,0,1,84,5,5,4,5,5,,,
1776,1776,flat,2 BHK,sector 95,ramsons kshitij,0.35,637.0,5495.0,Built Up area: 637 (59.18 sq.m.),2,2,0,5th   of 15 Floors,,undefined,[Environment4 out of 5 Lifestyle4.5 out of 5 Connectivity4 out of 5 Safety4.5 out of 5],5.0,15.0,,,637.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4.5,4,4.5
1777,1777,flat,2 BHK,sector 79,godrej,1.33,1559.0,8531.0,Super Built up area 1559(144.84 sq.m.),2,2,3,6th   of 15 Floors,North-West,Relatively New,[Green Area5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities5 out of 5 Connectivity4 out of 5],6.0,15.0,1559.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,5,5,4.5,5,4,,,
1778,1778,flat,3 BHK,sector 107,signature global solera,0.51,645.0,7906.0,Carpet area: 645 (59.92 sq.m.),3,2,2,9th   of 14 Floors,South,Relatively New,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],9.0,14.0,,645.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4.5,4.5,4,4,3,,,
1779,1779,flat,2 BHK,sohna road,mvn athens,0.26,482.0,5397.0,Carpet area: 481.74 (44.76 sq.m.),2,2,1,2nd   of 14 Floors,,Relatively New,[Green Area4 out of 5 Amenities4.5 out of 5 Management5 out of 5 Construction4 out of 5 Connectivity4 out of 5],2.0,14.0,,481.74,,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,37,4,4,5,4.5,4,,,
1780,1780,flat,3 BHK,sector 69,tulip violet,1.55,1578.0,9822.0,Super Built up area 1578(146.6 sq.m.),3,3,2,5th   of 14 Floors,North-East,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management5 out of 5 Amenities5 out of 5 Connectivity4.5 out of 5],5.0,14.0,1578.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,4,5,5,4.5,,,
1781,1781,flat,2 BHK,sector 104,godrej summit,0.75,1269.0,5910.0,Super Built up area 1269(117.89 sq.m.),2,2,3,6th   of 17 Floors,East,Relatively New,[Green Area4.5 out of 5 Construction4 out of 5 Management3 out of 5 Amenities4 out of 5 Connectivity4 out of 5],6.0,17.0,1269.0,,,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,4.5,4,3,4,4,,,
1782,1782,flat,1 BHK,sector 2,palam vihar extension west zone rwa,0.2,500.0,4000.0,Carpet area: 500 (46.45 sq.m.),1,1,1,1st   of 4 Floors,,Moderately Old,[Safety4 out of 5 Lifestyle4 out of 5 Environment4 out of 5 Connectivity4 out of 5],1.0,4.0,,500.0,,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,4,4,4,4
1783,1783,,house,sector 24,independent,3.5,1080.0,32407.0,Plot area 120(100.34 sq.m.),5,4,3,3.0,North-West,Old Property,[Environment4 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety4 out of 5],,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,,,,5,5,4,4
1784,1784,,house,sector 67,ansal api esencia,5.46,2259.0,24170.0,Plot area 251(209.87 sq.m.),4,5,3+,2.0,East,Relatively New,[Environment4 out of 5 Lifestyle4.5 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,,1,0,1,1,0,0,16,1,1,8,0,0,0,5,0,1,1,0,5,1,0,4,0,1,103,,,,,4,4.5,4,4
1785,1785,,house,sector 7,independent,1.55,1116.0,13889.0,Plot area 120(100.34 sq.m.),2,2,2,1.0,East,Moderately Old,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,,0,0,0,0,0,0,60,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,52,,,,,4,4,4,4
1786,1786,,house,sector 47,independent,5.25,4500.0,11666.0,Plot area 1944(180.6 sq.m.)Built Up area: 4650 sq.ft. (432 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9,9,3+,4.0,East,Relatively New,[Environment5 out of 5 Safety5 out of 5 Lifestyle4.5 out of 5 Connectivity5 out of 5],,,,4500.0,4650.0,0,1,0,0,0,0,17,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,1,142,,,,,5,4.5,5,5
1787,1787,flat,3 BHK,sector 22,ambience creacions,4.1,1459.0,28101.0,Super Built up area 2781(258.36 sq.m.)Carpet area: 1459 sq.ft. (135.55 sq.m.),3,3,3+,2nd   of 20 Floors,North-East,New Property,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity5 out of 5 Safety5 out of 5],2.0,20.0,2781.0,1459.0,,0,0,0,0,0,0,1,1,0,1,0,0,2,2,0,1,1,1,2,0,0,1,1,2,119,,,,,5,4,4,5
1788,1788,flat,3 BHK,sector 50,unitech fresco,1.8,1877.0,9589.0,Super Built up area 1877(174.38 sq.m.)Built Up area: 1870 sq.ft. (173.73 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,6th   of 19 Floors,North-East,Moderately Old,[Green Area5 out of 5 Construction3 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4 out of 5],6.0,19.0,1877.0,1600.0,1870.0,0,1,0,0,0,0,7,1,1,4,0,0,0,3,0,1,1,0,5,3,0,4,0,1,174,5,3,4,4,4,,,
1789,1789,,house,sector 26,independent,18.9,4518.0,41833.0,Plot area 502(419.74 sq.m.),6,8,2,3.0,North-East,Relatively New,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,,,1,1,1,1,0,0,30,1,1,8,0,0,0,7,0,1,1,0,7,0,0,8,0,1,120,,,,,5,5,5,5
1790,1790,flat,2 BHK,sector 107,signature global solera,0.29,489.0,5930.0,Carpet area: 489 (45.43 sq.m.),2,2,2,3rd   of 14 Floors,East,Relatively New,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity3 out of 5],3.0,14.0,,489.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4.5,4.5,4,4,3,,,
