Unnamed: 0.1,Unnamed: 0,index,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,TV,Bed,Microwave,Geyser,Fan,Chimney,Water Purifier,Dining Table,Sofa,Fridge,Modular Kitchen,Stove,Light,Curtains,Exhaust Fan,Wardrobe,AC,Washing Machine,furnishing_type,luxury_score,Safety,Lifestyle,Environment,Connectivity,Management,Amenities,Green_area,Construction
1539,1539,1539,house,sector 47,independent,5.25,4500.0,11667.0,Plot area 1944(180.6 sq.m.)Built Up area: 4650 sq.ft. (432 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9,9,3+,4.0,Relatively New,[Environment5 out of 5 Safety5 out of 5 Lifestyle4.5 out of 5 Connectivity5 out of 5],,,,4500.0,4650.0,0,1,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,17,0,0,0,0,0,2,142,5.0,4.5,5.0,5.0,,,,
1540,1540,1540,house,sector 82,vatika india next,7.0,3240.0,21605.0,Plot area 360(33.45 sq.m.)Built Up area: 3900 sq.ft. (362.32 sq.m.)Carpet area: 3743 sq.ft. (347.74 sq.m.),4,4,3+,3.0,Relatively New,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,3743.0,3900.0,0,1,0,0,0,3,0,1,5,8,1,1,1,1,1,1,1,7,1,1,4,8,1,1,105,4.0,4.0,4.0,4.0,,,,
1541,1541,1541,Flat,sector 90,dlf new town heights,1.3,1930.0,6736.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1929 sq.ft. (179.21 sq.m.)Carpet area: 1928 sq.ft. (179.12 sq.m.),3,3,3+,10th   of 19 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities5 out of 5 Connectivity4 out of 5],10.0,19.0,1930.0,1928.0,1929.0,0,1,0,1,0,0,0,0,3,6,1,0,0,0,0,1,0,20,0,1,3,0,0,2,129,,,,4.0,4.0,5.0,5.0,4.0
1542,1542,1542,house,sector 50,unitech escape,12.0,3240.0,37037.0,Carpet area: 360 (301.01 sq.m.),5,6,3+,3.0,undefined,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,360.0,3240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66,5.0,5.0,5.0,5.0,,,,
1543,1543,1543,Flat,sector 2,ansal api celebrity suites,0.6,735.0,8163.0,Super Built up area 735(68.28 sq.m.),1,1,1,5th   of 15 Floors,Moderately Old,,5.0,15.0,735.0,,665.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,7,0,1,1,2,0,2,88,,,,,,,,
1544,1544,1544,house,sector 82,independent,7.5,3240.0,23148.0,Plot area 360(301.01 sq.m.),5,5,3+,2.0,Relatively New,[Environment4 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],,,,,,0,1,0,1,0,0,0,0,4,12,1,1,0,0,0,1,0,25,1,1,5,8,0,2,135,4.0,4.0,4.0,4.0,,,,
1545,1545,1545,Flat,sector 62,pioneer araya,9.2,4613.0,19944.0,Super Built up area 4613(428.56 sq.m.)Carpet area: 3203 sq.ft. (297.57 sq.m.),4,6,3,5th   of 34 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity5 out of 5],5.0,34.0,4613.0,3203.0,3867.0,0,1,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,12,0,1,4,7,0,2,156,,,,5.0,4.0,4.0,5.0,4.0
1546,1546,1546,house,sector 17b,independent,8.5,4518.0,18814.0,Plot area 502(419.74 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.)Carpet area: 400 sq.yards (334.45 sq.m.),4,4,2,2.0,Old Property,[Environment5 out of 5 Safety5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5],,,,400.0,4518.0,1,1,0,1,0,0,0,0,5,10,0,0,0,0,0,1,0,10,0,1,4,0,1,2,21,5.0,5.0,5.0,5.0,,,,
1547,1547,1547,Flat,sector 86,pyramid urban homes 2,0.5,520.0,9615.0,Carpet area: 520 (48.31 sq.m.),2,2,1,10th   of 20 Floors,Relatively New,[Environment5 out of 5 Safety4.5 out of 5 Lifestyle5 out of 5 Connectivity4.5 out of 5],10.0,20.0,,520.0,578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4.5,5.0,5.0,4.5,,,,
1548,1548,1548,Flat,sector 99a,pareena coban residences,1.3,1997.0,6510.0,Built Up area: 1997 (185.53 sq.m.),3,3,0,16th   of 16 Floors,undefined,[Environment4 out of 5 Safety3 out of 5 Lifestyle3 out of 5 Connectivity3 out of 5],16.0,16.0,,,1997.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,4.0,3.0,,,,
